,productivity,utility,coverage,harmonic_mean
v,0.3789,0.0456,0.2786,0.3201
se,0.39,0.0567,0.1427,0.2081
na,0.4413,0.108,0.1303,0.2007
je,0.395,0.0617,0.1124,0.1748
V,0.4046,0.0712,0.1107,0.1728
a,0.61,0.2766,0.0799,0.1407
z,0.5355,0.2022,0.0598,0.107
ve,0.4256,0.0923,0.0517,0.0915
o,0.4915,0.1582,0.0457,0.0833
do,0.4846,0.1513,0.0406,0.0744
bude,0.5173,0.184,0.0402,0.0738
roce,0.4597,0.1264,0.0402,0.0735
než,0.5052,0.1718,0.0368,0.0676
jsou,0.6552,0.3218,0.0333,0.0632
za,0.4944,0.1611,0.0329,0.0615
k,0.5615,0.2282,0.0295,0.0559
Na,0.5154,0.1821,0.0295,0.0554
zemřel,0.5107,0.1774,0.0295,0.0552
že,0.5293,0.196,0.0282,0.0533
u,0.4852,0.1518,0.0282,0.0529
s,0.6082,0.2749,0.0261,0.0494
Podle,0.5737,0.2403,0.0261,0.0491
byla,0.5064,0.1731,0.0256,0.0485
Praze,0.595,0.2617,0.0248,0.0472
Epopej,0.5807,0.2474,0.0239,0.0456
premiér,0.5983,0.265,0.0222,0.0428
pro,0.4919,0.1586,0.0222,0.0424
byl,0.5279,0.1945,0.0222,0.0423
více,0.6354,0.302,0.0218,0.0417
po,0.6329,0.2995,0.0209,0.0403
při,0.5656,0.2322,0.0209,0.0398
korun,0.7294,0.3961,0.0197,0.0381
chce,0.6483,0.315,0.0192,0.0369
prezident,0.56,0.2267,0.0188,0.0361
Česká,0.55,0.2167,0.0188,0.0361
od,0.7531,0.4198,0.0184,0.0357
OSN,0.565,0.2317,0.0179,0.0348
Prezident,0.6038,0.2705,0.0179,0.0345
prezidenta,0.53,0.1967,0.0167,0.0322
Polsku,0.5767,0.2433,0.0162,0.0314
Žulawski,0.4667,0.1333,0.0162,0.0313
lidí,0.85,0.5167,0.0158,0.0309
roku,0.6933,0.36,0.0158,0.0308
České,0.5433,0.21,0.0158,0.0305
Andrzej,0.4833,0.15,0.0158,0.0305
Ve,0.59,0.2567,0.0154,0.0298
městě,0.6867,0.3533,0.015,0.0291
Radnice,0.6533,0.32,0.015,0.0289
má,0.7017,0.3683,0.0145,0.0284
první,0.5933,0.26,0.0145,0.0281
které,0.44,0.1067,0.0145,0.028
milionů,0.7,0.3667,0.0141,0.0275
Írán,0.6017,0.2683,0.0141,0.0273
Evropské,0.7583,0.425,0.0137,0.0267
ČR,0.7917,0.4583,0.0137,0.0267
vystavena,0.6833,0.35,0.0137,0.0266
obyvatel,0.74,0.4067,0.0128,0.025
firmy,0.5533,0.22,0.0128,0.0249
firma,0.7333,0.4,0.0124,0.0243
před,0.6417,0.3083,0.0124,0.0241
Britský,0.6267,0.2933,0.012,0.0233
republice,0.7833,0.45,0.0115,0.0227
8,0.8,0.4667,0.0115,0.0226
americké,0.6083,0.275,0.0115,0.0226
disident,0.5167,0.1833,0.0115,0.0225
Bývalý,0.5767,0.2433,0.0115,0.0225
cenu,0.5167,0.1833,0.0115,0.0224
ze,0.4567,0.1233,0.0115,0.0224
soudní,0.8167,0.4833,0.0111,0.0218
Evropy,0.8167,0.4833,0.0111,0.0218
prostředí,0.7183,0.4183,0.0111,0.0218
lidé,0.5917,0.2583,0.0111,0.0217
polský,0.6467,0.3133,0.0111,0.0217
letadla,0.5,0.1667,0.0111,0.0217
poprvé,0.6333,0.3,0.0111,0.0216
Jaroslav,0.8333,0.5,0.0107,0.0211
svatých,0.8333,0.5,0.0107,0.0211
pomocníků,0.8333,0.5,0.0107,0.0211
Kaczyński,0.8333,0.5,0.0107,0.0211
hlavním,0.65,0.3167,0.0107,0.021
proti,0.6167,0.2833,0.0107,0.0209
Chepe,0.4833,0.15,0.0107,0.0208
řeky,0.8667,0.5333,0.0103,0.0202
konalo,0.8667,0.5333,0.0103,0.0202
Hladina,0.8667,0.5333,0.0103,0.0202
března,0.8667,0.5333,0.0103,0.0202
zachraňuje,0.8833,0.55,0.0103,0.0202
životního,0.7017,0.4017,0.0103,0.0201
kraji,0.75,0.4167,0.0103,0.0201
provozu,0.5667,0.2333,0.0103,0.0201
Jan,0.5333,0.2,0.0103,0.02
Václav,0.6333,0.3,0.0103,0.02
dostal,0.9,0.5667,0.0098,0.0194
Stát,0.9,0.5667,0.0098,0.0194
Freuda,0.88,0.5467,0.0098,0.0194
let,0.8083,0.475,0.0098,0.0194
Sigmunda,0.8967,0.5633,0.0098,0.0194
2008,0.6083,0.275,0.0098,0.0192
vláda,0.65,0.3167,0.0098,0.0192
kaple,0.6167,0.2833,0.0098,0.0191
šestnáct,0.9333,0.6,0.0094,0.0186
nyní,0.9333,0.6,0.0094,0.0186
minimálně,0.9333,0.6,0.0094,0.0186
Bulharsku,0.9333,0.6,0.0094,0.0186
méně,0.6583,0.325,0.0094,0.0185
Konečný,0.6583,0.325,0.0094,0.0185
Gymnasta,0.6583,0.325,0.0094,0.0185
horku,0.7717,0.4383,0.0094,0.0185
režisér,0.7667,0.4333,0.0094,0.0185
bylo,0.5767,0.31,0.0094,0.0184
své,0.6667,0.3333,0.0094,0.0184
smrti,0.6,0.2667,0.0094,0.0184
Ostrava,0.7,0.3667,0.0094,0.0184
ArcelorMittal,0.7,0.3667,0.0094,0.0184
žije,0.9667,0.6333,0.009,0.0178
křeče,0.7417,0.4417,0.009,0.0177
Česku,0.7667,0.4667,0.009,0.0177
mezi,0.6917,0.3917,0.009,0.0177
Martin,0.7083,0.375,0.009,0.0176
NATO,0.625,0.3583,0.009,0.0176
země,0.65,0.3167,0.009,0.0176
plavecké,0.65,0.3167,0.009,0.0176
federace,0.65,0.3167,0.009,0.0176
rakovinu,0.65,0.3167,0.009,0.0176
nad,0.5833,0.25,0.009,0.0176
EU,0.5833,0.25,0.009,0.0176
Ořechova,0.5833,0.25,0.009,0.0176
demonstrovali,0.6167,0.2833,0.009,0.0175
noci,0.65,0.3167,0.009,0.0175
čtrnácti,1.0,0.6667,0.0085,0.0169
osob,1.0,0.6667,0.0085,0.0169
minulosti,1.0,0.6667,0.0085,0.0169
Americe,0.7,0.3667,0.0085,0.0168
vlády,0.6333,0.3,0.0085,0.0168
který,0.6667,0.3333,0.0085,0.0168
Pavel,0.6667,0.3333,0.0085,0.0168
II,0.6667,0.3333,0.0085,0.0168
americký,0.6,0.2667,0.0085,0.0168
Sanders,0.6,0.2667,0.0085,0.0168
mít,0.5333,0.2,0.0085,0.0168
Sarkozy,0.7,0.3667,0.0085,0.0167
kvarteto,0.6333,0.3,0.0085,0.0167
Kocianovo,0.6333,0.3,0.0085,0.0167
světovou,0.6333,0.3,0.0085,0.0167
zákona,0.6333,0.3,0.0085,0.0167
soud,0.6833,0.35,0.0081,0.016
zemřelo,0.6833,0.35,0.0081,0.016
Odvolací,0.6833,0.35,0.0081,0.016
Fremach,0.6833,0.35,0.0081,0.016
Morava,0.6833,0.35,0.0081,0.016
hrozí,0.675,0.3417,0.0081,0.016
Oceňovaný,0.7167,0.3833,0.0081,0.0159
Brně,0.7167,0.3833,0.0081,0.0159
střední,0.775,0.4417,0.0081,0.0159
Nassau,0.65,0.3167,0.0081,0.0159
vztah,0.5833,0.25,0.0081,0.0159
svém,0.75,0.4167,0.0081,0.0159
parlamentu,0.7333,0.4333,0.0077,0.0152
Moravy,0.7333,0.4,0.0077,0.0152
odmítl,0.7917,0.4583,0.0077,0.0152
ceny,0.6667,0.3333,0.0077,0.0152
Hlavní,0.6667,0.3333,0.0077,0.0152
000,0.6,0.2667,0.0077,0.0151
příznivců,0.75,0.45,0.0077,0.0151
společnost,0.65,0.3833,0.0077,0.0151
Husajna,0.7,0.3667,0.0077,0.0151
Saddáma,0.7,0.3667,0.0077,0.0151
zdravotnictví,0.7,0.3667,0.0077,0.0151
Astrid,0.5917,0.325,0.0077,0.0151
britského,0.8,0.4667,0.0077,0.0151
město,0.6667,0.3333,0.0077,0.0151
Nicolas,0.6667,0.3333,0.0077,0.0151
Díky,0.6667,0.3333,0.0077,0.0151
Režisér,0.6667,0.3333,0.0077,0.0151
snímku,0.6667,0.3333,0.0077,0.0151
kontroverzního,0.6667,0.3333,0.0077,0.0151
(1971),0.6667,0.3333,0.0077,0.0151
Třetí,0.6667,0.3333,0.0077,0.0151
část,0.6667,0.3333,0.0077,0.0151
Iráku,0.9167,0.5833,0.0073,0.0144
unie,0.8667,0.5333,0.0073,0.0144
dubna,0.8167,0.4833,0.0073,0.0144
Jiří,0.7833,0.4833,0.0073,0.0144
volbách,0.8917,0.5583,0.0073,0.0143
politické,0.7833,0.45,0.0073,0.0143
Kanada,0.7917,0.4917,0.0073,0.0143
získalo,0.7167,0.3833,0.0073,0.0143
mezinárodní,0.7167,0.3833,0.0073,0.0143
ničí,0.7167,0.3833,0.0073,0.0143
používány,0.7167,0.3833,0.0073,0.0143
mají,0.7167,0.3833,0.0073,0.0143
Ministr,0.9,0.5667,0.0073,0.0143
France,0.65,0.3167,0.0073,0.0143
Air,0.65,0.3167,0.0073,0.0143
ostrově,0.65,0.3167,0.0073,0.0143
hodnotě,0.75,0.4167,0.0073,0.0143
voličů,0.75,0.4167,0.0073,0.0143
procenta,0.75,0.4167,0.0073,0.0143
Návrh,0.6833,0.35,0.0073,0.0143
koupit,0.6833,0.35,0.0073,0.0143
kokainu,0.5667,0.3,0.0073,0.0143
Králové,0.4667,0.2333,0.0073,0.0142
Havel,0.7833,0.45,0.0073,0.0142
filmový,0.7167,0.3833,0.0073,0.0142
pomoc,0.7167,0.3833,0.0073,0.0142
ministerstva,0.7167,0.3833,0.0073,0.0142
Evropě,0.9,0.6,0.0068,0.0136
stále,0.7167,0.45,0.0068,0.0135
sochy,0.725,0.4583,0.0068,0.0135
válku,0.7667,0.4333,0.0068,0.0135
mírovém,0.7667,0.4333,0.0068,0.0135
pochodu,0.7667,0.4333,0.0068,0.0135
budou,0.7667,0.4333,0.0068,0.0135
deseti,0.7667,0.4333,0.0068,0.0135
gruzínského,0.7667,0.4333,0.0068,0.0135
Ukrajina,0.7667,0.4333,0.0068,0.0135
někdejšího,0.7667,0.4333,0.0068,0.0135
města,0.7333,0.4333,0.0068,0.0135
filmů,0.7,0.3667,0.0068,0.0135
Lindgrenová,0.6,0.3333,0.0068,0.0135
stát,0.75,0.45,0.0068,0.0135
divadla,0.8,0.4667,0.0068,0.0135
Espinosa,0.7333,0.4,0.0068,0.0134
Oscar,0.7333,0.4,0.0068,0.0134
Do,0.7333,0.4,0.0068,0.0134
stovky,0.7333,0.4,0.0068,0.0134
ozonová,0.7333,0.4,0.0068,0.0134
ke,0.7333,0.4,0.0068,0.0134
proces,0.7333,0.4,0.0068,0.0134
díra,0.7333,0.4,0.0068,0.0134
přes,0.8,0.5,0.0064,0.0127
dnes,0.8167,0.5167,0.0064,0.0127
nebude,0.75,0.45,0.0064,0.0127
37,0.8167,0.5167,0.0064,0.0127
Odboráři,0.7167,0.45,0.0064,0.0127
nebyly,0.8167,0.4833,0.0064,0.0127
otravu,0.8167,0.4833,0.0064,0.0127
propustil,0.8167,0.4833,0.0064,0.0127
žádnou,0.8167,0.4833,0.0064,0.0127
CZMT,0.75,0.4167,0.0064,0.0127
filmu,0.75,0.4167,0.0064,0.0127
kvůli,0.75,0.4167,0.0064,0.0127
energetická,0.75,0.4167,0.0064,0.0127
Vedení,0.75,0.4167,0.0064,0.0127
městem,0.75,0.4167,0.0064,0.0127
rekordně,0.75,0.4167,0.0064,0.0127
British,0.75,0.4167,0.0064,0.0127
"díru,",0.75,0.4167,0.0064,0.0127
zúčastnilo,0.75,0.4167,0.0064,0.0127
ozonovou,0.75,0.4167,0.0064,0.0127
Airways,0.75,0.4167,0.0064,0.0127
nezvětšuje,0.75,0.4167,0.0064,0.0127
Předseda,0.6167,0.35,0.0064,0.0126
počet,0.6917,0.425,0.0064,0.0126
zboží,0.5917,0.3583,0.0064,0.0126
nezúčastnil,0.85,0.5167,0.0064,0.0126
kouření,0.5167,0.25,0.0064,0.0126
Hradci,0.4667,0.2333,0.0064,0.0126
ropy,0.7833,0.45,0.0064,0.0126
Francii,0.7833,0.45,0.0064,0.0126
budově,0.7833,0.45,0.0064,0.0126
zákon,0.7833,0.45,0.0064,0.0126
podpořil,0.7833,0.45,0.0064,0.0126
Postoloprtech,0.6833,0.4167,0.0064,0.0126
Itálie,0.8167,0.4833,0.0064,0.0126
Santander,0.9,0.6,0.006,0.0119
Zurich,0.9,0.6,0.006,0.0119
Japonský,0.9,0.5667,0.006,0.0119
snižování,0.8,0.5,0.006,0.0119
vězení,0.75,0.4833,0.006,0.0118
František,0.8667,0.5333,0.006,0.0118
září,0.8667,0.5333,0.006,0.0118
Procházka,0.8667,0.5333,0.006,0.0118
"řekl,",0.8667,0.5333,0.006,0.0118
loni,0.8667,0.5333,0.006,0.0118
podporu,0.8333,0.5333,0.006,0.0118
proběhla,0.8,0.4667,0.006,0.0118
odvykací,0.8,0.4667,0.006,0.0118
2015,0.8,0.4667,0.006,0.0118
Morales,0.8,0.4667,0.006,0.0118
protestních,0.8,0.4667,0.006,0.0118
poslední,0.8,0.4667,0.006,0.0118
Kubánský,0.8,0.4667,0.006,0.0118
shromáždění,0.8,0.4667,0.006,0.0118
slavnostní,0.8,0.4667,0.006,0.0118
Tchaj-wanu,0.8,0.4667,0.006,0.0118
všechny,0.8,0.4667,0.006,0.0118
mistrovství,0.8,0.4667,0.006,0.0118
festival,0.8,0.4667,0.006,0.0118
lety,0.8,0.4667,0.006,0.0118
umění,0.8,0.4667,0.006,0.0118
vedení,0.65,0.3833,0.006,0.0118
Tusk,0.7167,0.45,0.006,0.0118
rady,0.7167,0.45,0.006,0.0118
Donald,0.7167,0.45,0.006,0.0118
Petr,0.7333,0.4667,0.006,0.0118
aby,0.6167,0.3833,0.006,0.0118
Chomsky,0.7833,0.4833,0.006,0.0118
metanolem,0.7833,0.4833,0.006,0.0118
protokolu,0.725,0.4583,0.006,0.0118
Dohoda,0.6667,0.4,0.006,0.0118
člověk,0.6167,0.35,0.006,0.0118
bitva,0.85,0.55,0.006,0.0118
útoku,0.4833,0.2833,0.006,0.0118
Jižní,0.8333,0.5,0.006,0.0118
zaměstnancům,0.8333,0.5,0.006,0.0118
rámci,0.9,0.6,0.0056,0.011
ministra,0.9,0.6,0.0056,0.011
protokol,0.9,0.6,0.0056,0.011
finančník,0.85,0.55,0.0056,0.011
Irský,0.85,0.55,0.0056,0.011
USA,0.8,0.5333,0.0056,0.011
126,0.9667,0.6333,0.0056,0.011
15,0.9,0.5667,0.0056,0.011
nachází,0.9167,0.5833,0.0056,0.011
věku,0.7667,0.5,0.0056,0.011
odstraňování,0.85,0.5167,0.0056,0.011
škod,0.85,0.5167,0.0056,0.011
povodních,0.85,0.5167,0.0056,0.011
malé,0.85,0.5167,0.0056,0.011
kritiky,0.85,0.5167,0.0056,0.011
zesnulé,0.85,0.5167,0.0056,0.011
srpnových,0.85,0.5167,0.0056,0.011
KVIFF,0.85,0.5167,0.0056,0.011
probíhal,0.85,0.5167,0.0056,0.011
uzavřela,0.85,0.5167,0.0056,0.011
Lech,0.85,0.5167,0.0056,0.011
prvním,0.85,0.5167,0.0056,0.011
Bergamini,0.85,0.5167,0.0056,0.011
ucházet,0.85,0.5167,0.0056,0.011
Baham,0.85,0.5167,0.0056,0.011
plavání,0.85,0.5167,0.0056,0.011
"55,21",0.85,0.5167,0.0056,0.011
čtyři,0.85,0.5167,0.0056,0.011
pohár,0.85,0.5167,0.0056,0.011
elektráren,0.85,0.5167,0.0056,0.011
Světový,0.85,0.5167,0.0056,0.011
nejvíce,0.85,0.5167,0.0056,0.011
Velvyslanec,0.85,0.5167,0.0056,0.011
veletrh,0.7,0.4333,0.0056,0.011
kubánský,0.8167,0.5167,0.0056,0.011
války,0.75,0.4833,0.0056,0.011
David,0.7167,0.45,0.0056,0.011
Cameron,0.7167,0.45,0.0056,0.011
jako,0.7,0.4,0.0056,0.011
druhé,0.7,0.4333,0.0056,0.011
Ki-mun,0.55,0.3167,0.0056,0.011
Pan,0.55,0.3167,0.0056,0.011
největší,0.5833,0.35,0.0056,0.011
Pardubickém,0.45,0.25,0.0056,0.0109
pouze,0.8,0.5333,0.0051,0.0102
vyzval,0.85,0.55,0.0051,0.0102
Petera,0.8,0.5333,0.0051,0.0102
Kenta,0.8,0.5333,0.0051,0.0102
Ledči,0.9,0.5667,0.0051,0.0102
Okamura,0.9,0.5667,0.0051,0.0102
Evo,0.9,0.5667,0.0051,0.0102
zvýšit,0.9,0.5667,0.0051,0.0102
vyhostila,0.9,0.5667,0.0051,0.0102
až,0.9,0.5667,0.0051,0.0102
Tomio,0.9,0.5667,0.0051,0.0102
Havana,0.9,0.5667,0.0051,0.0102
výstava,0.9,0.5667,0.0051,0.0102
Sázavou,0.9,0.5667,0.0051,0.0102
přestane,0.9,0.5667,0.0051,0.0102
pořádá,0.9,0.5667,0.0051,0.0102
asi,0.9,0.5667,0.0051,0.0102
hudební,0.9,0.5667,0.0051,0.0102
drahé,0.9,0.5667,0.0051,0.0102
Nicolase,0.9,0.5667,0.0051,0.0102
ještě,0.9,0.5667,0.0051,0.0102
vyřadí,0.9,0.5667,0.0051,0.0102
vstoupil,0.9,0.5667,0.0051,0.0102
koncerty,0.9,0.5667,0.0051,0.0102
disponuje,0.9,0.5667,0.0051,0.0102
klesá,0.9,0.5667,0.0051,0.0102
ocenění,0.9,0.5667,0.0051,0.0102
Postoloprt,0.9,0.5667,0.0051,0.0102
získal,0.9,0.5667,0.0051,0.0102
Prvního,0.9,0.5667,0.0051,0.0102
referenda,0.9,0.5667,0.0051,0.0102
platnost,0.9,0.5667,0.0051,0.0102
mediální,0.9,0.5667,0.0051,0.0102
kapli,0.9,0.5667,0.0051,0.0102
700,0.9,0.5667,0.0051,0.0102
eur,0.9,0.5667,0.0051,0.0102
Rusku,0.9,0.5667,0.0051,0.0102
obviňuje,0.9,0.5667,0.0051,0.0102
11,0.9,0.5667,0.0051,0.0102
testu,0.9,0.5667,0.0051,0.0102
východu,0.9,0.5667,0.0051,0.0102
místo,0.9,0.5667,0.0051,0.0102
dodávky,0.9,0.5667,0.0051,0.0102
Blízkého,0.9,0.5667,0.0051,0.0102
Po,0.9,0.5667,0.0051,0.0102
spory,0.9,0.5667,0.0051,0.0102
Muslimského,0.75,0.4833,0.0051,0.0102
bratrstva,0.75,0.4833,0.0051,0.0102
zabavila,0.65,0.4167,0.0051,0.0102
český,0.65,0.4167,0.0051,0.0102
společnosti,0.7167,0.45,0.0051,0.0101
padělaného,0.6,0.3667,0.0051,0.0101
obchod,0.6,0.3667,0.0051,0.0101
ministr,0.6,0.3667,0.0051,0.0101
Británie,0.6,0.3667,0.0051,0.0101
Špindlerův,0.6,0.3333,0.0051,0.0101
Mlýn,0.6,0.3333,0.0051,0.0101
nového,0.5667,0.3333,0.0051,0.0101
divadlo,0.5667,0.3333,0.0051,0.0101
podpoří,0.625,0.3917,0.0051,0.0101
pátek,0.5,0.2667,0.0051,0.0101
už,0.575,0.3417,0.0051,0.0101
Motor,0.3833,0.2167,0.0051,0.0101
Bühler,0.3833,0.2167,0.0051,0.0101
si,0.55,0.3167,0.0051,0.0101
i,0.9,0.6,0.0047,0.0093
Husajn,0.95,0.6167,0.0047,0.0093
kvalitním,0.95,0.6167,0.0047,0.0093
připraveni,0.95,0.6167,0.0047,0.0093
Iráčané,0.95,0.6167,0.0047,0.0093
vybavením,0.95,0.6167,0.0047,0.0093
uzavření,0.95,0.6167,0.0047,0.0093
Saddám,0.95,0.6167,0.0047,0.0093
vojenské,0.95,0.6167,0.0047,0.0093
sabotáže,0.95,0.6167,0.0047,0.0093
23,0.95,0.6167,0.0047,0.0093
dětí,0.95,0.6167,0.0047,0.0093
skončí,0.95,0.6167,0.0047,0.0093
předpokladů,0.95,0.6167,0.0047,0.0093
menšímu,0.95,0.6167,0.0047,0.0093
Pandy,0.95,0.6167,0.0047,0.0093
přišly,0.95,0.6167,0.0047,0.0093
skladby,0.95,0.6167,0.0047,0.0093
zařízením,0.95,0.6167,0.0047,0.0093
mnoho,0.95,0.6167,0.0047,0.0093
používání,0.95,0.6167,0.0047,0.0093
možnost,0.95,0.6167,0.0047,0.0093
politik,0.95,0.6167,0.0047,0.0093
finančních,0.95,0.6167,0.0047,0.0093
ropným,0.95,0.6167,0.0047,0.0093
přišlo,0.95,0.6167,0.0047,0.0093
Kolumbie,0.95,0.6167,0.0047,0.0093
nahrávku,0.95,0.6167,0.0047,0.0093
objeví,0.9,0.6,0.0047,0.0093
Když,0.9,0.6,0.0047,0.0093
"přehřátí,",0.9,0.6,0.0047,0.0093
další,0.8,0.5333,0.0047,0.0093
emisí,0.8,0.5333,0.0047,0.0093
zbraní,0.8,0.5333,0.0047,0.0093
skleníkových,0.8,0.5333,0.0047,0.0093
plynů,0.8,0.5333,0.0047,0.0093
Fiat,0.85,0.55,0.0047,0.0093
obviněn,0.75,0.4833,0.0047,0.0093
Džuničiró,0.8,0.5,0.0047,0.0093
Koizumi,0.8,0.5,0.0047,0.0093
Kvůli,0.8,0.5,0.0047,0.0093
Slovensko,0.7667,0.5,0.0047,0.0093
70%,0.7667,0.5,0.0047,0.0093
elektrárny,0.7667,0.5,0.0047,0.0093
odmítá,0.7,0.4333,0.0047,0.0093
Výstava,0.7,0.4333,0.0047,0.0093
Poděbradech,0.65,0.4167,0.0047,0.0093
ředitel,0.6667,0.4333,0.0047,0.0093
jeho,0.6,0.3667,0.0047,0.0093
koná,0.6,0.4,0.0047,0.0093
The,0.6,0.3667,0.0047,0.0093
Energo,0.55,0.35,0.0047,0.0093
hromadného,0.7167,0.45,0.0047,0.0093
Luděk,0.7167,0.45,0.0047,0.0093
přehřátí,0.7167,0.45,0.0047,0.0093
Niedermayer,0.7167,0.45,0.0047,0.0093
světové,0.65,0.4167,0.0047,0.0093
odstoupila,0.6167,0.3833,0.0047,0.0093
opravu,0.55,0.3167,0.0047,0.0093
Velké,0.55,0.3167,0.0047,0.0093
státního,0.55,0.3167,0.0047,0.0093
vozů,0.5667,0.3333,0.0047,0.0093
soutěži,0.4667,0.2667,0.0047,0.0093
oznámil,0.4,0.2,0.0047,0.0093
Přes,0.6,0.3667,0.0047,0.0092
scénu,1.0,0.6667,0.0043,0.0085
artový,1.0,0.6667,0.0043,0.0085
sbírce,1.0,0.6667,0.0043,0.0085
destinací,1.0,0.6667,0.0043,0.0085
ocitla,1.0,0.6667,0.0043,0.0085
natočil,1.0,0.6667,0.0043,0.0085
Ořechově,1.0,0.6667,0.0043,0.0085
Vstupenky,1.0,0.6667,0.0043,0.0085
nebezpečná,1.0,0.6667,0.0043,0.0085
vázne,1.0,0.6667,0.0043,0.0085
Vybudování,1.0,0.6667,0.0043,0.0085
desítku,1.0,0.6667,0.0043,0.0085
Z,1.0,0.6667,0.0043,0.0085
Oscara,1.0,0.6667,0.0043,0.0085
seniory,1.0,0.6667,0.0043,0.0085
Výstaviště,1.0,0.6667,0.0043,0.0085
"Tchaj-pej,",1.0,0.6667,0.0043,0.0085
Vltavy,1.0,0.6667,0.0043,0.0085
zaměstnávala,1.0,0.6667,0.0043,0.0085
Pořadatelé,1.0,0.6667,0.0043,0.0085
bratrstvo,1.0,0.6667,0.0043,0.0085
turistickou,1.0,0.6667,0.0043,0.0085
Soudu,1.0,0.6667,0.0043,0.0085
bydlení,1.0,0.6667,0.0043,0.0085
Slovenské,1.0,0.6667,0.0043,0.0085
Slovensku,1.0,0.6667,0.0043,0.0085
bytě,1.0,0.6667,0.0043,0.0085
Seifert,1.0,0.6667,0.0043,0.0085
Sarkozyho,1.0,0.6667,0.0043,0.0085
Olomouci,1.0,0.6667,0.0043,0.0085
mzdy,1.0,0.6667,0.0043,0.0085
Producent,1.0,0.6667,0.0043,0.0085
vyrůstal,1.0,0.6667,0.0043,0.0085
musí,1.0,0.6667,0.0043,0.0085
slinivky,1.0,0.6667,0.0043,0.0085
nouze,1.0,0.6667,0.0043,0.0085
"rozhodl,",1.0,0.6667,0.0043,0.0085
nový,1.0,0.6667,0.0043,0.0085
Rodiče,1.0,0.6667,0.0043,0.0085
zdarma,1.0,0.6667,0.0043,0.0085
kde,1.0,0.6667,0.0043,0.0085
vyrování,1.0,0.6667,0.0043,0.0085
nespáchal,1.0,0.6667,0.0043,0.0085
úžeh,1.0,0.6667,0.0043,0.0085
účetních,1.0,0.6667,0.0043,0.0085
tympanon,1.0,0.6667,0.0043,0.0085
Varšavy,1.0,0.6667,0.0043,0.0085
občerstvení,1.0,0.6667,0.0043,0.0085
automatické,1.0,0.6667,0.0043,0.0085
neleží,1.0,0.6667,0.0043,0.0085
úřadu,1.0,0.6667,0.0043,0.0085
nemají,1.0,0.6667,0.0043,0.0085
nabízel,1.0,0.6667,0.0043,0.0085
mimosoudní,1.0,0.6667,0.0043,0.0085
července,1.0,0.6667,0.0043,0.0085
Turecku,1.0,0.6667,0.0043,0.0085
ačkoli,1.0,0.6667,0.0043,0.0085
mimořádně,1.0,0.6667,0.0043,0.0085
zastupovat,1.0,0.6667,0.0043,0.0085
banánů,1.0,0.6667,0.0043,0.0085
minimální,1.0,0.6667,0.0043,0.0085
rád,1.0,0.6667,0.0043,0.0085
Tchaj-wanci,1.0,0.6667,0.0043,0.0085
rychlé,1.0,0.6667,0.0043,0.0085
Tarantino,1.0,0.6667,0.0043,0.0085
bezpečí,1.0,0.6667,0.0043,0.0085
téměr,1.0,0.6667,0.0043,0.0085
oblíbenou,1.0,0.6667,0.0043,0.0085
teroristickou,1.0,0.6667,0.0043,0.0085
klesla,1.0,0.6667,0.0043,0.0085
sňatky,1.0,0.6667,0.0043,0.0085
halotanů,1.0,0.6667,0.0043,0.0085
krevního,1.0,0.6667,0.0043,0.0085
xenofobie,1.0,0.6667,0.0043,0.0085
konzervativní,1.0,0.6667,0.0043,0.0085
konzumovat,1.0,0.6667,0.0043,0.0085
probíhala,1.0,0.6667,0.0043,0.0085
"Asii,",1.0,0.6667,0.0043,0.0085
problémech,1.0,0.6667,0.0043,0.0085
Indonésii,1.0,0.6667,0.0043,0.0085
vyjednává,1.0,0.6667,0.0043,0.0085
připravili,1.0,0.6667,0.0043,0.0085
letech,1.0,0.6667,0.0043,0.0085
podporovat,1.0,0.6667,0.0043,0.0085
imigračního,1.0,0.6667,0.0043,0.0085
Bitva,1.0,0.6667,0.0043,0.0085
starší,1.0,0.6667,0.0043,0.0085
Alžírska,1.0,0.6667,0.0043,0.0085
Jaderná,1.0,0.6667,0.0043,0.0085
James,1.0,0.6667,0.0043,0.0085
Jankové,1.0,0.6667,0.0043,0.0085
záplavám,1.0,0.6667,0.0043,0.0085
prodá,1.0,0.6667,0.0043,0.0085
výsledky,1.0,0.6667,0.0043,0.0085
eura,1.0,0.6667,0.0043,0.0085
jehož,1.0,0.6667,0.0043,0.0085
Kazachstánu,1.0,0.6667,0.0043,0.0085
vyšší,1.0,0.6667,0.0043,0.0085
"papežem,",1.0,0.6667,0.0043,0.0085
unikla,1.0,0.6667,0.0043,0.0085
Komunističtí,1.0,0.6667,0.0043,0.0085
Kozloduj,1.0,0.6667,0.0043,0.0085
elektrárnu,1.0,0.6667,0.0043,0.0085
737,1.0,0.6667,0.0043,0.0085
premiéra,1.0,0.6667,0.0043,0.0085
vyhořelo,1.0,0.6667,0.0043,0.0085
pohlaví,1.0,0.6667,0.0043,0.0085
Brna,1.0,0.6667,0.0043,0.0085
"Deštníky,",1.0,0.6667,0.0043,0.0085
kulatému,1.0,0.6667,0.0043,0.0085
kuchyňským,1.0,0.6667,0.0043,0.0085
povrchu,1.0,0.6667,0.0043,0.0085
zvýšení,1.0,0.6667,0.0043,0.0085
vězně,1.0,0.6667,0.0043,0.0085
poskytne,1.0,0.6667,0.0043,0.0085
